"","Hash","CAP1","CAP2","CAP3","CAP4","CAP5","CAP6","CAP7","CAP8","CAP9","order","family","genus","species"
"1","75eebef4a1da023960c3f7556617cb9f7211e4a0",0.897168163116684,0.0200681296422179,0.101835022369996,0.238805968540444,-0.831692591371617,0.0926578949250381,-0.639981057864722,0.269246047720772,-0.428198685392301,"Ephemeroptera","","",""
"2","5402672c4768a47baecb5975ab6c20c36403b705",0.203598902332132,-0.0304253641875893,0.71130291729092,0.590456623721524,-0.0401148664453341,-0.586390987801953,0.414539079561091,-0.070381104305187,-0.137210801203358,"Plecoptera","Pteronarcyidae","Pteronarcys","Pteronarcys princeps"
"3","5a5679ddeba13993e0615c14d1091f2ffcc96fe9",0.106663511566575,-0.0388365439284792,0.328545470902653,0.319920267494776,-0.0347529441989243,-0.350405751807716,0.208448221763267,-0.0331545861452448,-0.0472607918856499,"Odonata","Aeshnidae","Aeshna","Aeshna constricta"
"4","cc8ac130e985c2cdb262482dc0e62d4361825c29",0.106663511566575,-0.0388365439284792,0.328545470902653,0.319920267494776,-0.0347529441989243,-0.350405751807716,0.208448221763267,-0.0331545861452448,-0.0472607918856499,"Lepidoptera","Notodontidae","Oligocentria","Oligocentria semirufescens"
"5","281ee7acd6d12173e05b3df2f978758ed8f9cc45",0.106663511566575,-0.0388365439284792,0.328545470902653,0.319920267494776,-0.0347529441989243,-0.350405751807716,0.208448221763267,-0.0331545861452448,-0.0472607918856499,"Hemiptera","Tingidae","Corythucha","Corythucha padi"
"6","ee6fa49c895e4faa4b2e35692377e896e0f4b89c",0.105548081539413,-0.0380222923029661,0.181338941702923,0.196148283248952,0.0301222778375063,-0.211298903230042,0.0861240430139414,-0.000122836950301045,-0.0317944198420676,"Trichoptera","Lepidostomatidae","Lepidostoma","Lepidostoma unicolor"
"7","3cf7625ed38dbd949ff8152ea3f397daff45ec4d",0.103805931834089,-0.165130907790581,-0.0344321243999132,0.119025736600388,0.494531485365596,-0.127661997082074,-0.412515967040536,0.345285790476644,0.808262915232628,"Coleoptera","Carabidae","Scaphinotus","Scaphinotus marginatus"
"8","0768f21f7a0bd7805511090c51f2490fabf2bb3f",0.0798240706961422,-0.0290642130810199,0.245874493639389,0.239419626023585,-0.0260081581216509,-0.262234133245986,0.155996979155619,-0.024811990431306,-0.0353686911037156,"Lepidoptera","Noctuidae","Phlogophora","Phlogophora periculosa"
"9","32951538a654db6a62c9a3ca2384e2b213a4d3a7",0.0676337059043406,-0.0246256601889609,0.208325672283571,0.202856562350045,-0.0220363118815279,-0.222186943003094,0.132173838269145,-0.0210228174170697,-0.0299673473360684,"Coleoptera","Chrysomelidae","Altica",""
"10","9ce1094859a3bad62d0fa6622d0763aefd0b040b",0.049355680611266,-0.00503130212883904,0.021367193948383,0.0292469894414304,-0.0112855182438766,-0.0235542977213043,-0.0140341800399035,0.0117864679306403,-0.049363133487036,"Trichoptera","Lepidostomatidae","Lepidostoma",""
"11","6d90a20cccb216b63d729ba9cd7ef4437c463d16",0.0460357861067569,0.000297210975501627,-0.0158464658792765,-0.00978619452829472,0.0331917864506901,0.00559329038624445,0.0373576801566376,-0.0406266584158928,-0.15288213093997,"Coleoptera","Curculionidae","Barypeithes","Barypeithes pellucidus"
"12","fe85f67de2eae25389699cf7f6fe32399f24bece",0.0457424568376698,0.000295317216633116,-0.0157454959025023,-0.00972383918409636,0.032980296145372,0.00555765124722803,0.0371196457503232,-0.0403677948441717,-0.151908001734897,"Ephemeroptera","Baetidae","",""
"13","61312e4ace2653f7f4e371154fa2c36b6e3a988c",0.0233243386734564,-0.00572209362420139,0.084310386220737,0.0770506561189779,-0.0055532899367558,-0.0750871249781159,0.0509312960996493,-0.00913073023939971,-0.0122449589291962,"Trichoptera","Hydropsychidae","Parapsyche","Parapsyche elsis"
"14","f423fb69539daee7b52a8e61ed6855325677d82a",0.015117796873941,9.76017906139313e-05,-0.00520385709884895,-0.00321371075763855,0.0108999265111085,0.00183679339633997,0.0122679738536453,-0.0133414810854789,-0.0502053119250739,"Hemiptera","Gerridae","Aquarius","Aquarius remigis"
"15","d408fad8f23bf7b015c64c07941412bf4c8250d3",0.0137971920095623,0.000849259187181851,0.00110872608232367,0.00318832891509774,-0.0176644217952949,0.00299298546628319,-0.0179356351527116,0.00916593929067864,-0.00979744191939452,"Diptera","Chironomidae","",""
